x
0 1
1 26 92
2 40 92
3 50 118
4 46 124
5 39 93
6 25 94
7 48 115
8 77 123
9 67 128
10 59 128
11 33 118
12 32 120
13 61 116
14 76 118
15 62 108
16 44 135
17 31 137
18 35 130
19 56 111
20 72 116
21 53 121
22 25 120
23 44 118
24 44 128
25 51 109
26 48 143
27 46 118
28 25 128
29 57 130
30 52 132
31 23 98
32 33 108
33 24 87
34 23 115
35 31 113
36 57 128
37 31 136
38 44 135
39 63 126
40 67 129
41 37 131
42 8 118
43 66 139
44 87 145
45 94 139
46 71 131
47 29 144
48 10 135
49 66 142
50 92 147
51 79 133
52 58 141
53 30 132
54 9 126
55 51 132
56 84 146
57 75 127
58 24 147
59 43 130
60 36 124
61 51 135
62 76 144
63 62 119
64 27 134
65 74 137
66 45 128
67 28 113
68 58 140
69 43 134
70 31 138
71 44 158
72 42 154
73 23 101
74 50 130
75 54 131
76 62 131
77 35 122
78 7 126
79 62 117
80 81 138
81 73 144
82 64 126
83 32 137
84 7 128
85 63 131
86 85 152
87 73 150
88 54 137
89 27 140
90 7 119
91 73 146
92 67 154
93 88 154
94 34 136
95 45 131
96 41 119
97 65 154
98 78 154
99 62 144
100 38 127
101 56 141
102 53 128
103 59 121
104 53 135
105 47 140
106 34 128
107 47 130
108 30 109
109 34 89
110 21 89
111 43 112
112 57 122
113 28 87
114 6 95
115 65 110
116 69 114
117 50 127
118 52 131
119 42 98
120 8 111
121 59 121
122 70 108
123 53 116
124 46 102
125 35 124
126 8 119
127 55 125
128 61 110
129 66 115
130 31 103
131 31 118
132 34 109
133 48 111
134 47 116
135 51 114
136 40 100
137 44 114
138 44 109
139 40 105
140 34 87
141 31 93
142 19 93
143 20 83
144 19 88
145 54 120
146 26 84
147 47 104
148 45 117
149 44 95
150 9 78
151 82 130
152 68 114
153 69 121
154 62 118
155 52 99
156 13 99
157 70 126
158 74 106
159 71 102
160 47 112
161 38 116
162 11 126
163 68 126
164 63 111
165 68 120
166 28 109
167 20 114
168 23 112
169 66 128
170 44 135
171 56 129
172 31 111
173 60 137
174 55 116
175 35 105
176 36 111
177 30 100
178 13 101
179 32 103
180 31 97
181 42 130
182 63 127
183 83 139
184 81 144
185 64 126
186 33 105
187 61 131
188 78 135
189 87 140
190 73 137
191 53 129
192 19 120
193 59 139
194 80 148
195 96 135
196 63 143
197 35 137
198 12 126
199 63 135
200 77 150
201 94 136
202 31 152
203 37 131
204 32 118
205 64 140
206 90 150
207 66 131
208 39 135
209 74 142
210 42 133
211 47 115
212 52 129
213 29 119
214 7 115
215 41 129
216 38 122
217 37 106
218 64 129
219 63 142
220 72 138
221 64 124
222 53 128
223 54 118
224 82 141
225 73 146
226 55 135
227 46 129
228 21 128
229 53 129
230 64 148
231 66 147
232 51 136
233 27 136
234 9 127
235 48 135
236 66 159
237 79 157
238 30 136
239 40 122
240 33 115
241 66 143
242 70 144
243 59 136
244 36 131
245 69 135
246 45 128
247 49 111
248 48 120
249 25 118
250 9 113
251 38 119
252 28 116
253 22 80
254 29 100
255 43 117
256 36 112
257 32 82
258 35 114
259 51 99
260 74 112
261 59 121
262 50 118
263 34 103
264 47 117
265 59 98
266 74 104
267 49 111
268 43 101
269 26 117
270 44 123
271 62 105
272 70 107
273 47 105
274 22 103
275 35 118
276 41 109
277 60 107
278 59 123
279 39 113
280 24 125
281 61 128
282 48 107
283 25 86
284 29 93
285 20 101
286 18 101
287 37 100
288 31 99
