x
0 1
1 23 115
2 38 141
3 27 128
4 36 133
5 33 119
6 6 121
7 45 132
8 55 131
9 39 123
10 49 126
11 34 134
12 20 129
13 40 131
14 62 133
15 48 132
16 53 129
17 42 119
18 29 138
19 38 131
20 53 127
21 53 127
22 51 130
23 47 130
24 33 136
25 24 153
26 48 143
27 50 137
28 52 131
29 34 124
30 31 132
31 14 141
32 26 129
33 39 118
34 36 132
35 26 118
36 23 133
37 27 122
38 38 128
39 43 132
40 40 136
41 36 126
42 10 108
43 34 117
44 54 129
45 44 122
46 51 125
47 52 121
48 28 104
49 26 109
50 51 137
51 52 132
52 54 128
53 54 133
54 28 115
55 31 127
56 52 143
57 53 147
58 55 144
59 53 132
60 25 113
61 11 116
62 50 134
63 54 147
64 51 153
65 44 142
66 23 116
67 10 125
68 24 152
69 48 153
70 43 142
71 39 133
72 29 125
73 17 112
74 36 132
75 42 124
76 41 128
77 35 128
78 13 118
79 31 109
80 52 128
81 56 129
82 52 131
83 47 118
84 27 110
85 20 112
86 37 136
87 57 135
88 61 134
89 52 134
90 34 119
91 23 126
92 36 132
93 56 131
94 56 132
95 53 134
96 29 110
97 3 113
98 47 126
99 51 140
100 50 139
101 49 135
102 24 115
103 7 123
104 21 138
105 45 136
106 39 132
107 37 134
108 27 124
109 16 120
110 38 135
111 34 128
112 37 131
113 33 121
114 15 101
115 27 136
116 45 134
117 47 125
118 47 125
119 46 126
120 25 111
121 28 135
122 44 128
123 55 125
124 48 124
125 43 117
126 24 116
127 21 137
128 40 127
129 51 123
130 46 123
131 46 120
132 35 124
133 0 141
134 44 140
135 50 126
136 46 126
137 38 122
138 25 119
139 5 136
140 20 127
141 36 117
142 35 118
143 25 110
144 22 108
145 15 135
146 33 119
147 32 125
148 35 125
149 31 122
150 15 126
151 14 143
152 34 131
153 48 130
154 48 123
155 36 122
156 25 129
157 25 142
158 48 135
159 45 133
160 39 126
161 34 121
162 25 133
163 20 146
164 45 126
165 44 128
166 46 125
167 40 131
168 32 128
169 11 155
170 42 146
171 42 122
172 40 127
173 37 121
174 26 123
175 6 136
176 24 143
177 30 124
178 29 121
179 20 120
180 16 122
181 13 124
182 23 134
183 26 138
184 33 139
185 29 135
186 16 114
187 14 109
188 37 125
189 51 124
190 49 131
191 42 126
192 22 108
193 22 108
194 46 131
195 41 130
196 40 128
197 39 121
198 26 110
199 22 127
200 39 136
201 52 135
202 54 127
203 49 130
204 32 121
205 7 121
206 40 141
207 46 146
208 43 133
209 42 131
210 26 109
211 10 132
212 33 147
213 37 137
214 34 136
215 26 137
216 20 120
217 17 111
218 25 141
219 27 139
220 24 138
221 38 135
222 17 122
223 25 114
224 44 128
225 52 122
226 44 125
227 45 122
228 24 99
229 33 117
230 46 130
231 42 135
232 42 131
233 39 129
234 30 109
235 21 121
236 37 133
237 50 131
238 52 131
239 51 126
240 30 114
241 9 115
242 46 128
243 45 141
244 45 138
245 45 129
246 29 103
247 10 136
248 30 142
249 40 129
250 41 132
251 31 138
252 20 130
253 20 112
254 33 121
255 30 119
256 29 125
257 28 114
258 8 121
259 29 123
260 37 125
261 40 119
262 38 124
263 34 118
264 12 123
265 43 129
266 42 126
267 43 125
268 40 126
269 41 113
270 22 125
271 30 123
272 44 124
273 43 120
274 46 125
275 45 126
276 30 126
277 13 135
278 45 132
279 39 117
280 39 120
281 36 119
282 27 130
283 13 122
284 19 121
285 34 110
286 31 126
287 25 122
288 19 135
